match_id,team_a_id,team_b_id,team_a_name,team_b_name,match_date,competition_name,label,delta_avg_possession_pct,delta_avg_ppda,delta_avg_pressure_success_rate,delta_avg_xg_created_p90,delta_avg_xg_ratio,delta_avg_progressive_carry_pct,delta_avg_pass_completion_pct,delta_avg_passes_final_third_p90,delta_avg_pass_completion_under_pressure_pct,delta_avg_set_piece_shot_pct,is_home,form_points_delta,archetype_matchup_id,delta_matches_played,competition_weight
7525,796,799,Russia,Saudi Arabia,2018-06-14,FIFA World Cup,win,-1.246515878455563,1.107692307692307,-1.1525784157363108,1.3513043478260873,0.4544405997693194,0.6103092783505155,-1.0454183266932267,-0.7203917538238317,-1.0454183266932267,1.0990615224191864,1,0.0,9,2,1.0
7525,799,796,Saudi Arabia,Russia,2018-06-14,FIFA World Cup,loss,1.246515878455563,-1.107692307692307,1.1525784157363108,-1.3513043478260873,-0.4544405997693194,-0.6103092783505155,1.0454183266932267,0.7203917538238317,1.0454183266932267,-1.0990615224191864,0,0.0,6,-2,1.0
7529,785,775,Croatia,Nigeria,2018-06-16,FIFA World Cup,win,0.6945396390221613,0.553846153846154,0.7783094098883578,1.6313043478260871,0.7497116493656286,0.2721649484536075,1.5298804780876472,1.2216915543195692,1.5298804780876472,0.18978102189781024,1,0.0,6,18,1.0
7529,775,785,Nigeria,Croatia,2018-06-16,FIFA World Cup,loss,-0.6945396390221613,-0.553846153846154,-0.7783094098883578,-1.6313043478260871,-0.7497116493656286,-0.2721649484536075,-1.5298804780876472,-1.2216915543195692,-1.5298804780876472,-0.18978102189781024,0,0.0,9,-18,1.0
7530,771,792,France,Australia,2018-06-16,FIFA World Cup,win,0.7064199223212242,-0.3164835164835154,-0.42530568846358346,1.9478260869565216,0.9873125720876587,1.534020618556701,1.0613545816733052,1.1140801644398763,1.0613545816733052,0.7299270072992701,1,0.0,7,17,1.0
7530,792,771,Australia,France,2018-06-16,FIFA World Cup,loss,-0.7064199223212242,0.3164835164835154,0.42530568846358346,-1.9478260869565216,-0.9873125720876587,-1.534020618556701,-1.0613545816733052,-1.1140801644398763,-1.0613545816733052,-0.7299270072992701,0,0.0,13,-17,1.0
7531,779,793,Argentina,Iceland,2018-06-16,FIFA World Cup,draw,2.618231665524331,-0.6241758241758236,2.122275385433282,1.4695652173913039,3.1718569780853523,-0.6103092783505155,3.015139442231073,1.7711142010761134,3.015139442231073,0.5505735140771639,1,0.0,2,8,1.0
7531,793,779,Iceland,Argentina,2018-06-16,FIFA World Cup,draw,-2.618231665524331,0.6241758241758236,-2.122275385433282,-1.4695652173913039,-3.1718569780853523,0.6103092783505155,-3.015139442231073,-1.7711142010761134,-3.015139442231073,-0.5505735140771639,0,0.0,8,-8,1.0
7532,784,776,Peru,Denmark,2018-06-16,FIFA World Cup,loss,-0.22024217500571125,-0.7296703296703299,0.0765550239234449,-0.7391304347826086,-0.8604382929642447,1.3608247422680404,-0.269322709163346,-0.056103016746267054,-0.269322709163346,-0.28571428571428575,1,0.0,5,-14,1.0
7532,776,784,Denmark,Peru,2018-06-16,FIFA World Cup,win,0.22024217500571125,0.7296703296703299,-0.0765550239234449,0.7391304347826086,0.8604382929642447,-1.3608247422680404,0.269322709163346,0.056103016746267054,0.269322709163346,0.28571428571428575,0,0.0,5,14,1.0
